VID;Name;Vehicle;Date&Time;Status;
504;Eypidi Driver 1;Mercedes E220 2018;2024-06-21 11:33:58;Assign;
606;Eypidi Driver 1;Mercedes E220 2018;2024-07-01 11:33:22;Unassign;
608;Eypidi Driver 1;Mercedes E220 2018;2024-07-01 11:33:28;Assign;
636;Eypidi Driver 1;Mercedes E220 2018;2024-07-01 11:40:06;Unassign;
656;Eypidi Driver 1;Mercedes E220 2018;2024-07-01 11:54:36;Assign;
659;Eypidi Driver 1;Mercedes E220 2018;2024-07-01 11:56:24;Unassign;
661;Eypidi Driver 1;Mercedes E220 2018;2024-07-01 12:01:18;Assign;
669;Eypidi Driver 1;Mercedes E220 2018;2024-07-01 12:03:23;Unassign;
691;Eypidi Driver 1;Mercedes E220 2018;2024-07-01 13:22:42;Assign;
504;Eypidi Driver 1;Mercedes E220 2018;2024-06-21 11:33:58;Assign;
606;Eypidi Driver 1;Mercedes E220 2018;2024-07-01 11:33:22;Unassign;
608;Eypidi Driver 1;Mercedes E220 2018;2024-07-01 11:33:28;Assign;
636;Eypidi Driver 1;Mercedes E220 2018;2024-07-01 11:40:06;Unassign;
656;Eypidi Driver 1;Mercedes E220 2018;2024-07-01 11:54:36;Assign;
659;Eypidi Driver 1;Mercedes E220 2018;2024-07-01 11:56:24;Unassign;
661;Eypidi Driver 1;Mercedes E220 2018;2024-07-01 12:01:18;Assign;
669;Eypidi Driver 1;Mercedes E220 2018;2024-07-01 12:03:23;Unassign;
691;Eypidi Driver 1;Mercedes E220 2018;2024-07-01 13:22:42;Assign;
